iata,icao,name,city,country,timezone,utc_offset_hours,dst,openflights_id
TJL,SSTL,Plínio Alarcom Airport,Tres Lagoas,Brazil,America/Campo_Grande,-4,S,9769
TJM,USTR,Roshchino International Airport,Tyumen,Russia,Asia/Yekaterinburg,5,N,4111
TJQ,WIOD,Buluh Tumbang (H A S Hanandjoeddin) Airport,Tanjung Pandan,Indonesia,Asia/Jakarta,7,N,3904
TJS,WALG,Tanjung Harapan Airport,Tanjung Selor-Borneo Island,Indonesia,Asia/Makassar,8,N,6207
TJU,UTDK,Kulob Airport,Kulyab,Tajikistan,Asia/Dushanbe,5,U,7563
TJV,VOTJ,Tanjore Air Force Base,Tanjore,India,Asia/Calcutta,5.5,N,3150
TKA,PATK,Talkeetna Airport,Talkeetna,United States,America/Anchorage,-9,A,4004
TKC,FKKC,Tiko Airport,Tiko,Cameroon,Africa/Douala,1,N,896
TKD,DGTK,Takoradi Airport,Takoradi,Ghana,Africa/Accra,0,N,252
TKF,KTRK,Truckee Tahoe Airport,Truckee,United States,America/Los_Angeles,-8,A,7702
TKG,WIAT,Radin Inten II (Branti) Airport,Bandar Lampung-Sumatra Island,Indonesia,Asia/Jakarta,7,N,6223
TKH,VTPI,Takhli Airport,Nakhon Sawan,Thailand,Asia/Bangkok,7,U,3166
TKJ,PFTO,Tok Junction Airport,Tok,United States,America/Anchorage,-9,A,7235
TKK,PTKK,Chuuk International Airport,Chuuk,Micronesia,Pacific/Truk,10,U,2254
TKN,RJKN,Tokunoshima Airport,Tokunoshima,Japan,Asia/Tokyo,9,U,2318
TKP,NTGT,Takapoto Airport,Takapoto,French Polynesia,Pacific/Tahiti,-10,U,1983
TKQ,HTKA,Kigoma Airport,Kigoma,Tanzania,Africa/Dar_es_Salaam,3,U,5704
TKS,RJOS,Tokushima Airport/JMSDF Air Base,Tokushima,Japan,Asia/Tokyo,9,U,2336
TKT,VTPT,Tak Airport,Tak,Thailand,Asia/Bangkok,7,N,9233
TKU,EFTU,Turku Airport,Turku,Finland,Europe/Helsinki,2,E,460
TKX,NTKR,Takaroa Airport,Takaroa,French Polynesia,Pacific/Tahiti,-10,U,1986
TLA,PATE,Teller Airport,Teller,United States,America/Anchorage,-9,A,7186
TLC,MMTO,Licenciado Adolfo Lopez Mateos International Airport,Toluca,Mexico,America/Mexico_City,-6,S,1850
